dataset,seed,fold,method,pcc,rmse,mae,n_test
ERKAUC30,5,0,adaptive_fusion,0.6717077472939313,0.7428536462009132,0.5030501669615042,14538
ERKAUC30,6,0,imputer_only,0.658541171366147,0.7626149545147612,0.5196054450666346,14538
ERKAUC30,6,0,ridge_only,0.6681277458781805,0.7454561473203887,0.5050213334064396,14538
ERKAUC30,6,0,fixed_fusion,0.6744600974684439,0.7407477174151134,0.5019598610751941,14538
ERKAUC30,6,0,adaptive_fusion,0.6749083750270578,0.7394062525799441,0.5005987151079978,14538
ERKAUC30,7,0,imputer_only,0.6549046218062917,0.7667833070817461,0.5241295658095779,14538
ERKAUC30,7,0,ridge_only,0.6604695620690939,0.7527889756215795,0.5104962237495544,14538
ERKAUC30,7,0,fixed_fusion,0.6688484740979866,0.7464257042965381,0.5063514974269158,14538
ERKAUC30,7,0,adaptive_fusion,0.668148333630827,0.7460444201622676,0.5053376779148658,14538
ERKAUC30,8,0,imputer_only,0.6494936635530607,0.7725578050299727,0.5263540856845424,14538
ERKAUC30,8,0,ridge_only,0.6589342689830409,0.754641740176698,0.5101774691475148,14538
ERKAUC30,8,0,fixed_fusion,0.665760244985068,0.7497135645391503,0.5076135584117019,14538
ERKAUC30,8,0,adaptive_fusion,0.6661228432953548,0.7483136088574298,0.5058592514278916,14538
ERKAUC30,9,0,imputer_only,0.6565940455350522,0.7668260846574323,0.5208710072861626,14538
ERKAUC30,9,0,ridge_only,0.6676860415173383,0.7469702732386331,0.5063834445409584,14538
ERKAUC30,9,0,fixed_fusion,0.6729562428990852,0.743557624225747,0.5029919051330151,14538
ERKAUC30,9,0,adaptive_fusion,0.6737261310443733,0.7416510700428965,0.5018715063539222,14538
ERKIC50,0,0,imputer_only,0.6336886354191535,0.7794931547433398,0.5869584729245424,15443
ERKIC50,0,0,ridge_only,0.6370490570880493,0.7740872154641952,0.5836971274326566,15443
ERKIC50,0,0,fixed_fusion,0.6428827654116157,0.7687969513160285,0.5791790028539048,15443
ERKIC50,0,0,adaptive_fusion,0.6412422356320276,0.7700515191298246,0.5803708308461216,15443
ERKIC50,1,0,imputer_only,0.6388414091486332,0.7743335711654067,0.583800662051861,15443
ERKIC50,1,0,ridge_only,0.6412938260118215,0.7702031544179735,0.5820834385444078,15443
ERKIC50,1,0,fixed_fusion,0.6475812465595728,0.7643327191896527,0.5764710295269914,15443
ERKIC50,1,0,adaptive_fusion,0.6456546357203014,0.7659516821174536,0.5783366349288257,15443
ERKIC50,2,0,imputer_only,0.640159516033678,0.7730839832457438,0.5855882490731859,15443
ERKIC50,2,0,ridge_only,0.6430867745369396,0.7680325049084417,0.5826331769224539,15443
ERKIC50,2,0,fixed_fusion,0.6492122939595097,0.762564667400356,0.5780897626555556,15443
ERKIC50,2,0,adaptive_fusion,0.647694736787586,0.7637127971840736,0.5792502735270912,15443
ERKIC50,3,0,imputer_only,0.6424062776355501,0.7714520434616619,0.5816573225263211,15443
ERKIC50,3,0,ridge_only,0.6463966226481784,0.7657155084861036,0.5786859236531366,15443
ERKIC50,3,0,fixed_fusion,0.6522174190091707,0.7602528768533536,0.5736738765993845,15443
ERKIC50,3,0,adaptive_fusion,0.6506528632052822,0.7615294908541618,0.574976794519165,15443
ERKIC50,4,0,imputer_only,0.6483936676938584,0.7650553867943929,0.5813591624243817,15443
ERKIC50,4,0,ridge_only,0.6493120217278429,0.7623878251079048,0.5799089057432398,15443
ERKIC50,4,0,fixed_fusion,0.656342518610737,0.7558831558308486,0.5743754503925823,15443
ERKIC50,4,0,adaptive_fusion,0.6541543089179164,0.7577434251354807,0.5760313531974678,15443
ERKIC50,5,0,imputer_only,0.6458364218747642,0.7678955794768498,0.5828321312989048,15443
ERKIC50,5,0,ridge_only,0.6473787298985193,0.7643254499918749,0.5791807532745048,15443
ERKIC50,5,0,fixed_fusion,0.654120687616328,0.7581744186362347,0.5748935551823126,15443
ERKIC50,5,0,adaptive_fusion,0.6520151015393303,0.7599007361723907,0.575876348072057,15443
ERKIC50,6,0,imputer_only,0.6447978779597978,0.7689817965811465,0.5837664606988635,15443
ERKIC50,6,0,ridge_only,0.6448432084654904,0.7663239248997329,0.5803568846762759,15443
ERKIC50,6,0,fixed_fusion,0.652476950568274,0.7595726180925494,0.5757007301027772,15443
ERKIC50,6,0,adaptive_fusion,0.6498101339927433,0.7616886064430104,0.5769139507296371,15443
ERKIC50,7,0,imputer_only,0.6464378759049216,0.767217051522405,0.5816592909009409,15443
ERKIC50,7,0,ridge_only,0.6467818253352541,0.7648665414636817,0.5794520498417226,15443
ERKIC50,7,0,fixed_fusion,0.6543519551185667,0.7578939011135013,0.5742564427052481,15443
ERKIC50,7,0,adaptive_fusion,0.6517203538793489,0.760127215426893,0.5758771946477337,15443
ERKIC50,8,0,imputer_only,0.63660591625662,0.7768712459113065,0.5865675377363686,15443
ERKIC50,8,0,ridge_only,0.639456359652352,0.7718565895068484,0.5834920515185223,15443
ERKIC50,8,0,fixed_fusion,0.6457181013726174,0.766182153523418,0.5788347035422465,15443
ERKIC50,8,0,adaptive_fusion,0.6438658871539477,0.7676229763387041,0.5800241939581714,15443
ERKIC50,9,0,imputer_only,0.6395294304640485,0.7733105300987719,0.5853069511992378,15443
ERKIC50,9,0,ridge_only,0.6376845121421891,0.7729474836018021,0.584219024573425,15443
ERKIC50,9,0,fixed_fusion,0.6464465441334549,0.7649590932703806,0.578460252145505,15443
ERKIC50,9,0,adaptive_fusion,0.6435388504597446,0.767402353826094,0.5801633662526408,15443
PI3KAUC,0,0,imputer_only,0.597805307766561,0.812974129128992,0.5732389794507807,13331
PI3KAUC,0,0,ridge_only,0.6121153276647221,0.7933961356489321,0.5570998692332725,13331
PI3KAUC,0,0,fixed_fusion,0.6155125354141099,0.791772728830793,0.5559656142381558,13331
PI3KAUC,0,0,adaptive_fusion,0.6164790508925387,0.7898330959801798,0.554098063414413,13331
PI3KAUC,1,0,imputer_only,0.6091259569041346,0.80267945443271,0.5705894252023116,13331
PI3KAUC,1,0,ridge_only,0.6136349585784551,0.7924596930723654,0.5595517192732716,13331
PI3KAUC,1,0,fixed_fusion,0.6221312290133494,0.7861328719648939,0.5562208452951984,13331
PI3KAUC,1,0,adaptive_fusion,0.6198595509130086,0.787199431471269,0.5559957174058271,13331
PI3KAUC,2,0,imputer_only,0.5909074002782775,0.820861495879708,0.5764065590113305,13331
PI3KAUC,2,0,ridge_only,0.6062117923991167,0.7988608165031073,0.560775280465035,13331
PI3KAUC,2,0,fixed_fusion,0.6091375933025146,0.7980827968563405,0.5591885718876913,13331
PI3KAUC,2,0,adaptive_fusion,0.6099005936861263,0.7961014270632998,0.557977568061911,13331
PI3KAUC,3,0,imputer_only,0.5967283313250263,0.8157620911341308,0.5694105092335838,13331
PI3KAUC,3,0,ridge_only,0.6168524570222101,0.789708838667787,0.5541868060212896,13331
PI3KAUC,3,0,fixed_fusion,0.6181605649394505,0.7900906267582286,0.5519596030617258,13331
PI3KAUC,3,0,adaptive_fusion,0.6204770944359013,0.7867698130686474,0.5509093747444026,13331
PI3KAUC,4,0,imputer_only,0.5972452849796421,0.8147025413014735,0.5748004208611274,13331
PI3KAUC,4,0,ridge_only,0.6145213707922352,0.791691597131073,0.5576209788262004,13331
PI3KAUC,4,0,fixed_fusion,0.6164194016592899,0.7915478538911364,0.5564507675334437,13331
PI3KAUC,4,0,adaptive_fusion,0.618407052466304,0.7885655407872839,0.5547172081725228,13331
PI3KAUC,5,0,imputer_only,0.6038850346679854,0.8091221359562689,0.5715934541405518,13331
PI3KAUC,5,0,ridge_only,0.6145456746442247,0.7916650009038247,0.5592882674108259,13331
PI3KAUC,5,0,fixed_fusion,0.6200471373690348,0.7884473714140757,0.5558058798189744,13331
PI3KAUC,5,0,adaptive_fusion,0.6196699789939495,0.7874808935570159,0.5555816398382529,13331
PI3KAUC,6,0,imputer_only,0.5978024326325004,0.8143435742643589,0.5745990155350277,13331
PI3KAUC,6,0,ridge_only,0.6083798141987942,0.7973287886883937,0.5613946222915043,13331
PI3KAUC,6,0,fixed_fusion,0.6140632513172587,0.7938107992768794,0.55835948161935,13331
PI3KAUC,6,0,adaptive_fusion,0.6136472716070068,0.7930035504623196,0.5579240151517745,13331
PI3KAUC,7,0,imputer_only,0.5922049545149208,0.818711058648861,0.5747003117623097,13331
PI3KAUC,7,0,ridge_only,0.6069745070517166,0.7982337998089893,0.5591407498824051,13331
PI3KAUC,7,0,fixed_fusion,0.6100125464354007,0.7970519647965283,0.557374540084588,13331
PI3KAUC,7,0,adaptive_fusion,0.6109838110738119,0.7949825763000868,0.5562294009986342,13331
PI3KAUC,8,0,imputer_only,0.5985065245519615,0.8131058305845696,0.573549274977032,13331
PI3KAUC,8,0,ridge_only,0.6094878819687066,0.796322107619156,0.5603595460623791,13331
PI3KAUC,8,0,fixed_fusion,0.6147251607616496,0.7930434229675063,0.5573903769971031,13331
PI3KAUC,8,0,adaptive_fusion,0.6144302190544325,0.792182036943492,0.5568284506465201,13331
PI3KAUC,9,0,imputer_only,0.6018238144643582,0.8097716883561631,0.5715749719230379,13331
PI3KAUC,9,0,ridge_only,0.6130419167284101,0.7930705953888952,0.5589079176927246,13331
PI3KAUC,9,0,fixed_fusion,0.618010108398551,0.7899690991025656,0.5554298730125808,13331
PI3KAUC,9,0,adaptive_fusion,0.6178375345019096,0.7890541162595821,0.5550927325515752,13331
PI3KIC50,0,0,imputer_only,0.6019992410164695,0.8100376167497847,0.5752368832308766,13927
PI3KIC50,0,0,ridge_only,0.612874618592749,0.7934835886563483,0.5613169137555586,13927
PI3KIC50,0,0,fixed_fusion,0.6181226489508824,0.7901339089876845,0.558630250986845,13927
PI3KIC50,0,0,adaptive_fusion,0.6178121648445691,0.7893275459253399,0.5578427169876211,13927
PI3KIC50,1,0,imputer_only,0.598266868970812,0.8147083649984906,0.5808171422589146,13927
PI3KIC50,1,0,ridge_only,0.6169615736309116,0.7897037509946954,0.5616093707770731,13927
PI3KIC50,1,0,fixed_fusion,0.6188063983140403,0.7896966130326166,0.5613764715029405,13927
PI3KIC50,1,0,adaptive_fusion,0.6199660380924504,0.7873734679942075,0.5595292113534062,13927
PI3KIC50,2,0,imputer_only,0.5977270140292722,0.8136502635609454,0.5798847954570931,13927
PI3KIC50,2,0,ridge_only,0.610468045727361,0.7943948395946432,0.5625973355210694,13927
PI3KIC50,2,0,fixed_fusion,0.6152975814758989,0.7918252888173443,0.561159917841675,13927
PI3KIC50,2,0,adaptive_fusion,0.6154473771473531,0.7904043101110579,0.5593371070266995,13927
PI3KIC50,3,0,imputer_only,0.5944093402075927,0.8154532978864508,0.5773969736467534,13927
PI3KIC50,3,0,ridge_only,0.6067581508164108,0.7973378363568934,0.5641140926152458,13927
PI3KIC50,3,0,fixed_fusion,0.6116239785513446,0.7945777571527755,0.5611535414492062,13927
PI3KIC50,3,0,adaptive_fusion,0.6115331330316751,0.7934719938138821,0.5608284709295521,13927
PI3KIC50,4,0,imputer_only,0.5982484558311512,0.8136777808497744,0.5771391784432317,13927
PI3KIC50,4,0,ridge_only,0.6133005941569784,0.7927444379393159,0.5610624663724167,13927
PI3KIC50,4,0,fixed_fusion,0.6166524951935366,0.7912670137817956,0.5595030442741397,13927
PI3KIC50,4,0,adaptive_fusion,0.6171944049657362,0.7896240721317169,0.5582277739327528,13927
PI3KIC50,5,0,imputer_only,0.5951396930885313,0.8159090633180437,0.5787901752689422,13927
PI3KIC50,5,0,ridge_only,0.6073293583430459,0.7973437931880134,0.5649059877053244,13927
PI3KIC50,5,0,fixed_fusion,0.6127166489028785,0.7941774706838391,0.561947545232743,13927
PI3KIC50,5,0,adaptive_fusion,0.6126354487628984,0.7930151750212896,0.5613238281446712,13927
PI3KIC50,6,0,imputer_only,0.5944531345518055,0.8170515221333885,0.5798750762968675,13927
PI3KIC50,6,0,ridge_only,0.6085028206938093,0.7968715241047751,0.5661716273917743,13927
PI3KIC50,6,0,fixed_fusion,0.6120764407659612,0.795307232703189,0.5634656049252798,13927
PI3KIC50,6,0,adaptive_fusion,0.6128442856723151,0.7934165368181451,0.5625070216561566,13927
PI3KIC50,7,0,imputer_only,0.5948191434101783,0.8170015594624618,0.5789087351025093,13927
PI3KIC50,7,0,ridge_only,0.607912313919913,0.7968910873485686,0.566151540042161,13927
PI3KIC50,7,0,fixed_fusion,0.6124264181858626,0.7947455799061997,0.5633560772337866,13927
PI3KIC50,7,0,adaptive_fusion,0.612913555274035,0.7929299218480211,0.5627938188724635,13927
PI3KIC50,8,0,imputer_only,0.5939731811024639,0.8186189969766231,0.5840248112452415,13927
PI3KIC50,8,0,ridge_only,0.6090914319913163,0.7967187059937,0.565044850777292,13927
PI3KIC50,8,0,fixed_fusion,0.6120316585014638,0.7959071270497173,0.5652386463033634,13927
PI3KIC50,8,0,adaptive_fusion,0.613181463276033,0.7934857964504596,0.5625821068338237,13927
PI3KIC50,9,0,imputer_only,0.6028516939088915,0.8083823867521197,0.5771962250183822,13927
PI3KIC50,9,0,ridge_only,0.6155785078577675,0.7904778325638242,0.5622129036555347,13927
PI3KIC50,9,0,fixed_fusion,0.6199072043158048,0.7879215924602357,0.5605800537125316,13927
PI3KIC50,9,0,adaptive_fusion,0.6201659203985942,0.7866623985220433,0.559251722250462,13927
PRISM19Q4_independent,0,0,imputer_only,0.6999669331660356,0.103802377862755,0.0725959484808755,2265
PRISM19Q4_independent,0,0,ridge_only,0.6737809148672194,0.1075555440951554,0.0755556942479763,2265
PRISM19Q4_independent,0,0,fixed_fusion,0.6986486932607319,0.104050251759611,0.0727654880903677,2265
PRISM19Q4_independent,0,0,adaptive_fusion,0.6958305050551347,0.1044968184172168,0.07308703114918,2265
PRISM19Q4_independent,1,0,imputer_only,0.6999980227327285,0.1037978707129349,0.072597768225154,2265
PRISM19Q4_independent,1,0,ridge_only,0.6740461924738332,0.1075228067418464,0.0755278777997225,2265
PRISM19Q4_independent,1,0,fixed_fusion,0.6988154180005323,0.10402789214478,0.0727551969866089,2265
PRISM19Q4_independent,1,0,adaptive_fusion,0.6960208757907141,0.1044717616908804,0.0730731019252709,2265
PRISM19Q4_independent,2,0,imputer_only,0.7000670114038048,0.1037873985566368,0.0725928494077644,2265
PRISM19Q4_independent,2,0,ridge_only,0.6737427961847532,0.1075616274520633,0.07551642628695,2265
PRISM19Q4_independent,2,0,fixed_fusion,0.6987135348012818,0.1040426491984837,0.0727492815742955,2265
PRISM19Q4_independent,2,0,adaptive_fusion,0.6987135348012818,0.1040426491984837,0.0727492815742955,2265
PRISM19Q4_independent,3,0,imputer_only,0.700021968582891,0.1037941981697986,0.0725952948692355,2265
PRISM19Q4_independent,3,0,ridge_only,0.6737183723914905,0.1075664107228599,0.0755378175650211,2265
PRISM19Q4_independent,3,0,fixed_fusion,0.698676764053601,0.104047776934736,0.0727575026732143,2265
PRISM19Q4_independent,3,0,adaptive_fusion,0.698676764053601,0.104047776934736,0.0727575026732143,2265
PRISM19Q4_independent,4,0,imputer_only,0.7000349192576529,0.1037920610266902,0.0725874361876094,2265
PRISM19Q4_independent,4,0,ridge_only,0.6734787708805512,0.1075918669375606,0.0755540763700245,2265
PRISM19Q4_independent,4,0,fixed_fusion,0.698573346203526,0.1040605883515075,0.0727635346106346,2265
PRISM19Q4_independent,4,0,adaptive_fusion,0.6957161337185196,0.1045120073179432,0.0730836616051907,2265
PRISM19Q4_independent,5,0,imputer_only,0.6999921442766667,0.1037985135754894,0.0726015303966488,2265
PRISM19Q4_independent,5,0,ridge_only,0.6737971485254322,0.1075543214313907,0.0755244060725828,2265
PRISM19Q4_independent,5,0,fixed_fusion,0.6986713482117402,0.1040474077956652,0.0727578209593859,2265
PRISM19Q4_independent,5,0,adaptive_fusion,0.6958526004853999,0.1044942573027157,0.0730721487772649,2265
PRISM19Q4_independent,6,0,imputer_only,0.6999216167591517,0.1038092172857841,0.0726013897928444,2265
PRISM19Q4_independent,6,0,ridge_only,0.673656803206105,0.1075712121966594,0.0755121534628583,2265
PRISM19Q4_independent,6,0,fixed_fusion,0.6985961658447561,0.1040575694924592,0.0727426393537332,2265
PRISM19Q4_independent,6,0,adaptive_fusion,0.6957698933437753,0.104505206236268,0.0730588402048115,2265
PRISM19Q4_independent,7,0,imputer_only,0.6999392439665464,0.1038066831493554,0.0725908776387473,2265
PRISM19Q4_independent,7,0,ridge_only,0.6736415686494523,0.1075739634758965,0.0755341136560798,2265
PRISM19Q4_independent,7,0,fixed_fusion,0.698596293164442,0.1040579415489945,0.072753917894616,2265
PRISM19Q4_independent,7,0,adaptive_fusion,0.698596293164442,0.1040579415489945,0.072753917894616,2265
PRISM19Q4_independent,8,0,imputer_only,0.6999873015333073,0.103799665325647,0.0725931287338138,2265
PRISM19Q4_independent,8,0,ridge_only,0.6736840983969614,0.1075678296285951,0.0755202307474797,2265
PRISM19Q4_independent,8,0,fixed_fusion,0.6986575893485166,0.1040493151145091,0.0727516176553225,2265
PRISM19Q4_independent,8,0,adaptive_fusion,0.6986575893485166,0.1040493151145091,0.0727516176553225,2265
PRISM19Q4_independent,9,0,imputer_only,0.699988569404714,0.1037989500856286,0.0725936149919269,2265
PRISM19Q4_independent,9,0,ridge_only,0.6738207822197476,0.1075499320837721,0.0755392772604034,2265
PRISM19Q4_independent,9,0,fixed_fusion,0.698715819649763,0.1040413923363059,0.0727603578014879,2265
PRISM19Q4_independent,9,0,adaptive_fusion,0.698715819649763,0.1040413923363059,0.0727603578014879,2265
