dataset,seed,fold,method,pcc,rmse,mae,n_test,selected_alpha,inner_pcc
CCLE,0,7,ridge_only,0.7197919753422667,0.6830341264609988,0.4986201914055361,1136,,
CCLE,0,7,fixed_fusion,0.7220687669965986,0.6806451914191951,0.4948046551232091,1136,,
CCLE,0,7,adaptive_fusion,0.722285587192199,0.6804170595251798,0.495060894502798,1136,0.3,0.6943923159864556
CCLE,0,8,imputer_only,0.7332692960078505,0.6473884196415538,0.4770757685113955,1136,,
CCLE,0,8,ridge_only,0.7333630841496412,0.6478261980524062,0.4813133451681212,1136,,
CCLE,0,8,fixed_fusion,0.7374658770301094,0.6427161561617991,0.4745739668716953,1136,,
CCLE,0,8,adaptive_fusion,0.736805923062608,0.6435893554428808,0.4762098281975289,1136,0.3,0.6977566844684235
CCLE,0,9,imputer_only,0.7330968484841289,0.7077017471654471,0.5226596919178199,1136,,
CCLE,0,9,ridge_only,0.7247265014325583,0.7170994593669007,0.5303901472781919,1136,,
CCLE,0,9,fixed_fusion,0.733283290697746,0.7070004957375904,0.5216223517734915,1136,,
CCLE,0,9,adaptive_fusion,0.7309087762658247,0.7097588286632607,0.523868577219718,1136,0.3,0.6919947262321854
CCLE,0,10,imputer_only,0.7595792319798877,0.7074997593511222,0.5152075820939553,1136,,
CCLE,0,10,ridge_only,0.7509930685040991,0.7183063520554555,0.5234190967312443,1136,,
CCLE,0,10,fixed_fusion,0.7593673612127739,0.7078797638620019,0.5152289992016884,1136,,
CCLE,0,10,adaptive_fusion,0.7570114381118419,0.710860024274091,0.5176395778845662,1136,0.3,0.6862191754801271
CCLE,1,1,imputer_only,0.716005324034405,0.6537946331744092,0.4912759564978047,1136,,
CCLE,1,1,ridge_only,0.7135734782987035,0.6591464515730917,0.4944904133159762,1136,,
CCLE,1,1,fixed_fusion,0.7193734557243951,0.6508934515503679,0.4883958132206675,1136,,
CCLE,1,1,adaptive_fusion,0.7181024536072723,0.6528670319349126,0.4896494108369053,1136,0.3,0.7025947999720471
CCLE,1,2,imputer_only,0.713633043571903,0.6897071755749157,0.5029122484923737,1136,,
CCLE,1,2,ridge_only,0.7170012792739074,0.6857879909108501,0.4962986231095758,1136,,
CCLE,1,2,fixed_fusion,0.7200618720830463,0.6824270785437361,0.4956561661652096,1136,,
CCLE,1,2,adaptive_fusion,0.7199843919150677,0.6824921759024711,0.4946562412687213,1136,0.3,0.6920981613202564
CCLE,1,3,imputer_only,0.7260249302314976,0.7164501727053922,0.5162772372563857,1136,,
CCLE,1,3,ridge_only,0.7206648822164653,0.7223454105124663,0.5197057370060834,1136,,
CCLE,1,3,fixed_fusion,0.7280981528354363,0.7142409390415195,0.5132110079158966,1136,,
CCLE,1,3,adaptive_fusion,0.7262387184566645,0.7162547085990744,0.5145241856432003,1136,0.3,0.6936657521696089
CCLE,1,4,imputer_only,0.7363320941881382,0.6366266294248687,0.473274696297062,1136,,
CCLE,1,4,ridge_only,0.7245592537645995,0.6498169900174502,0.4858021996799668,1136,,
CCLE,1,4,fixed_fusion,0.735513996873821,0.6374654547635421,0.4745201939809498,1136,,
CCLE,1,4,adaptive_fusion,0.7323076022330656,0.6410479167110894,0.477728978610544,1136,0.3,0.6932958836240157
CCLE,1,5,imputer_only,0.7362152626017638,0.6750719408341908,0.4992248076963169,1136,,
CCLE,1,5,ridge_only,0.7231731788046946,0.6890357989504562,0.5117963884293485,1136,,
CCLE,1,5,fixed_fusion,0.7345288780006348,0.676378289742133,0.5009582184017783,1136,,
CCLE,1,5,adaptive_fusion,0.7311462498421573,0.6801019148504323,0.504348949579445,1136,0.3,0.6922182319414959
CCLE,1,6,imputer_only,0.7458954259041892,0.6752258640685278,0.4943055948761341,1136,,
CCLE,1,6,ridge_only,0.7402718380980327,0.6817142748027881,0.4983418883867145,1136,,
CCLE,1,6,fixed_fusion,0.7478094073671772,0.6729225942375023,0.4913517387596815,1136,,
CCLE,1,6,adaptive_fusion,0.745910969523565,0.6751198916247856,0.493279037781333,1136,0.3,0.6927731361230517
CCLE,1,7,imputer_only,0.7249862897330266,0.724161139047394,0.5227806229000558,1136,,
CCLE,1,7,ridge_only,0.7216679984975879,0.7278991605856612,0.5232465074768697,1136,,
CCLE,1,7,fixed_fusion,0.7277020701331708,0.7210637315912956,0.5184787701041963,1136,,
CCLE,1,7,adaptive_fusion,0.7263316878576285,0.7226125723098263,0.5195869722213079,1136,0.3,0.6979363736161964
CCLE,1,8,imputer_only,0.7534848162605656,0.7188901051877002,0.5021186291918972,1136,,
CCLE,1,8,ridge_only,0.7472443777136432,0.7255336840299572,0.5139365443061302,1136,,
CCLE,1,8,fixed_fusion,0.7548549773368577,0.7172031966807858,0.5022522743355194,1136,,
CCLE,1,8,adaptive_fusion,0.7540402820344583,0.7180730177718637,0.5038852930969959,1136,0.4,0.6904424221046274
CCLE,1,9,imputer_only,0.6824447427603709,0.7143638562009668,0.5157063929991252,1136,,
CCLE,1,9,ridge_only,0.67794770863054,0.7171662930949168,0.5187252403374656,1136,,
CCLE,1,9,fixed_fusion,0.6853985090902779,0.7100423332412393,0.5121081098299277,1136,,
CCLE,1,9,adaptive_fusion,0.6836928932515416,0.7115253386312385,0.5136509280574744,1136,0.3,0.7025142404152167
CCLE,1,10,imputer_only,0.7067923868992001,0.6807965934830245,0.505258266826248,1136,,
CCLE,1,10,ridge_only,0.6977386979516782,0.6904372146831937,0.5115940911943564,1136,,
CCLE,1,10,fixed_fusion,0.7065115081225852,0.6808643324902549,0.5047299107232313,1136,,
CCLE,1,10,adaptive_fusion,0.7040030417883694,0.6835663501270902,0.5064301948532631,1136,0.3,0.7010142150615165
CCLE,2,1,imputer_only,0.7066697145479988,0.6741153663159306,0.5043783320008105,1136,,
CCLE,2,1,ridge_only,0.7032648588517467,0.6781510181212468,0.5056052140518378,1136,,
CCLE,2,1,fixed_fusion,0.7092228746677741,0.6707241364795461,0.5006654879521641,1136,,
CCLE,2,1,adaptive_fusion,0.7078486513636001,0.6724050953075569,0.5016610955044598,1136,0.3,0.6944761240654704
CCLE,2,2,imputer_only,0.7254885539679217,0.7159169275753815,0.501412202933019,1136,,
CCLE,2,2,ridge_only,0.7316810681699677,0.7091239399258334,0.5056793006250969,1136,,
CCLE,2,2,fixed_fusion,0.7334027105993585,0.7071637845450447,0.4981268212497627,1136,,
CCLE,2,2,adaptive_fusion,0.7338693265983323,0.7066563265522778,0.4998744927259805,1136,0.3,0.6983390861181766
CCLE,2,3,imputer_only,0.6963851943951792,0.6898859014406721,0.5161255964361976,1136,,
CCLE,2,3,ridge_only,0.7108125693120035,0.6732933698192737,0.4996294831408948,1136,,
CCLE,2,3,fixed_fusion,0.7087406435353514,0.675531400110202,0.5028639546517938,1136,,
CCLE,2,3,adaptive_fusion,0.7108398147735899,0.6731607869121594,0.5003775923020878,1136,0.3,0.698140409029639
CCLE,2,4,imputer_only,0.7006830060984232,0.7305279974837483,0.5222201036332964,1136,,
CCLE,2,4,ridge_only,0.6970648159046869,0.7339243664070467,0.5297178900074458,1136,,
CCLE,2,4,fixed_fusion,0.703297152084248,0.7267099676283842,0.5210673457103581,1136,,
CCLE,2,4,adaptive_fusion,0.7018661325598289,0.7282789629038344,0.5234493723379965,1136,0.3,0.7039863073517931
CCLE,2,5,imputer_only,0.7552058928948902,0.6421138567104807,0.4721594761696752,1136,,
CCLE,2,5,ridge_only,0.740727796992091,0.659012286621945,0.4813601696354658,1136,,
CCLE,2,5,fixed_fusion,0.7524262022710692,0.645302028194707,0.4715052267873059,1136,,
CCLE,2,5,adaptive_fusion,0.748780387181057,0.6495493418835466,0.4740598848598688,1136,0.3,0.6898578344731099
CCLE,2,6,imputer_only,0.7342174601150876,0.69854212497392,0.4987176201928531,1136,,
CCLE,2,6,ridge_only,0.7309040360235759,0.7024397022897907,0.5051496538032718,1136,,
CCLE,2,6,fixed_fusion,0.7368631227985308,0.6954436310635665,0.4980153316303163,1136,,
CCLE,2,6,adaptive_fusion,0.7354834599169613,0.6970379095348923,0.499875935266765,1136,0.3,0.6936236447524203
CCLE,2,7,imputer_only,0.7414993344805267,0.6715368823081234,0.4952711284734082,1136,,
CCLE,2,7,ridge_only,0.7360747129789346,0.6777955891943462,0.5016254210013742,1136,,
CCLE,2,7,fixed_fusion,0.7440799471807291,0.6691432904468007,0.4943474113170966,1136,,
CCLE,2,7,adaptive_fusion,0.7421790371203487,0.6712904093072711,0.4964719867835093,1136,0.3,0.6885635580610727
CCLE,2,8,imputer_only,0.738495037552139,0.6805817503244785,0.4968089567822024,1136,,
CCLE,2,8,ridge_only,0.7277957856554127,0.6925939035904661,0.5070488637007452,1136,,
