dataset,seed,fold,selected_alpha,inner_pcc
PI3KAUC,2,4,0.2,0.5713660035660295
PI3KAUC,2,5,0.2,0.5717524533058229
PI3KAUC,2,6,0.2,0.5675438376151384
PI3KAUC,2,7,0.3,0.5709091104076762
PI3KAUC,2,8,0.2,0.5794442153228796
PI3KAUC,2,9,0.2,0.5641462985644417
PI3KAUC,2,10,0.2,0.5742954681274385
PI3KAUC,3,1,0.2,0.5607072021906776
PI3KAUC,3,2,0.2,0.5676829087104064
PI3KAUC,3,3,0.2,0.5712463779383176
PI3KAUC,3,4,0.2,0.5795752289957199
PI3KAUC,3,5,0.2,0.5748566605028553
PI3KAUC,3,6,0.2,0.5644645754646106
PI3KAUC,3,7,0.2,0.5669388481961098
PI3KAUC,3,8,0.2,0.5667432519407284
PI3KAUC,3,9,0.2,0.561001468085742
PI3KAUC,3,10,0.2,0.5700825037171077
PI3KAUC,4,1,0.2,0.5645570623469268
PI3KAUC,4,2,0.2,0.5686186241473667
PI3KAUC,4,3,0.2,0.5650019038850502
PI3KAUC,4,4,0.2,0.5761963287706231
PI3KAUC,4,5,0.2,0.5675616564390373
PI3KAUC,4,6,0.2,0.5713190194384802
PI3KAUC,4,7,0.2,0.5712109362814818
PI3KAUC,4,8,0.2,0.5662422907251464
PI3KAUC,4,9,0.2,0.5789290112712752
PI3KAUC,4,10,0.3,0.5746226415257477
PI3KAUC,5,1,0.2,0.5599134780373811
PI3KAUC,5,2,0.2,0.5754823965179313
PI3KAUC,5,3,0.2,0.5712033814310324
PI3KAUC,5,4,0.2,0.5719156982456839
PI3KAUC,5,5,0.2,0.5541686556625751
PI3KAUC,5,6,0.2,0.5641318500323667
PI3KAUC,5,7,0.2,0.5816061176650942
PI3KAUC,5,8,0.2,0.5609694004839987
PI3KAUC,5,9,0.2,0.5572500496137325
PI3KAUC,5,10,0.2,0.5717098887412074
PI3KAUC,6,1,0.2,0.5772822137284764
PI3KAUC,6,2,0.2,0.5550241902243236
PI3KAUC,6,3,0.3,0.5686687909747057
PI3KAUC,6,4,0.2,0.5679991062708601
PI3KAUC,6,5,0.3,0.5674393555173732
PI3KAUC,6,6,0.2,0.5714071656361002
PI3KAUC,6,7,0.2,0.5626772117296213
PI3KAUC,6,8,0.2,0.5729873525222674
PI3KAUC,6,9,0.2,0.5710115523534698
PI3KAUC,6,10,0.2,0.564934102935156
PI3KAUC,7,1,0.2,0.575622859685596
PI3KAUC,7,2,0.2,0.5779234163467749
PI3KAUC,7,3,0.2,0.5633927546652473
PI3KAUC,7,4,0.2,0.5721664057946827
PI3KAUC,7,5,0.2,0.5733267654790424
PI3KAUC,7,6,0.2,0.561922421630521
PI3KAUC,7,7,0.2,0.5554193296708927
PI3KAUC,7,8,0.2,0.5765978980831614
PI3KAUC,7,9,0.2,0.5602540804905529
PI3KAUC,7,10,0.2,0.5730711035064644
PI3KAUC,8,1,0.2,0.5893795944365379
PI3KAUC,8,2,0.2,0.5727029198352123
PI3KAUC,8,3,0.2,0.5769587487199892
PI3KAUC,8,4,0.2,0.5755007037472041
PI3KAUC,8,5,0.2,0.5823882671232267
PI3KAUC,8,6,0.2,0.5640968336906826
PI3KAUC,8,7,0.2,0.5728244120566461
PI3KAUC,8,8,0.2,0.5526339417053864
PI3KAUC,8,9,0.2,0.5756825919823558
PI3KAUC,8,10,0.2,0.5621246270757235
PI3KAUC,9,1,0.2,0.5532370404707851
PI3KAUC,9,2,0.2,0.568779621841691
PI3KAUC,9,3,0.2,0.5643176826231506
PI3KAUC,9,4,0.2,0.5627700297379465
PI3KAUC,9,5,0.2,0.5611014900379322
PI3KAUC,9,6,0.2,0.5605266719900814
PI3KAUC,9,7,0.2,0.5781147189315827
PI3KAUC,9,8,0.2,0.5731543301367494
PI3KAUC,9,9,0.2,0.575617243771377
PI3KAUC,9,10,0.2,0.5800497002703464
PI3KIC50,0,1,0.2,0.5729333137724654
PI3KIC50,0,2,0.2,0.5601221227499928
PI3KIC50,0,3,0.2,0.5562013894761206
PI3KIC50,0,4,0.2,0.5774452237216303
PI3KIC50,0,5,0.3,0.5657051643422982
PI3KIC50,0,6,0.2,0.5759572059309784
PI3KIC50,0,7,0.2,0.5676621511515427
PI3KIC50,0,8,0.2,0.5673133476142762
PI3KIC50,0,9,0.2,0.5546501517362525
PI3KIC50,0,10,0.2,0.5607763344973673
PI3KIC50,1,1,0.2,0.5684034798162042
PI3KIC50,1,2,0.2,0.5805533765971527
PI3KIC50,1,3,0.2,0.5618782419072922
PI3KIC50,1,4,0.2,0.5484226732425332
PI3KIC50,1,5,0.2,0.5672623115583104
PI3KIC50,1,6,0.2,0.553511620855749
PI3KIC50,1,7,0.3,0.5672798332301572
PI3KIC50,1,8,0.1,0.5649251188500097
PI3KIC50,1,9,0.2,0.5735122314275034
PI3KIC50,1,10,0.3,0.5600989008826256
PI3KIC50,2,1,0.2,0.5780520502085228
PI3KIC50,2,2,0.2,0.5629214731799991
PI3KIC50,2,3,0.2,0.5713472023612338
PI3KIC50,2,4,0.2,0.5654209241230148
PI3KIC50,2,5,0.2,0.5714322360325126
PI3KIC50,2,6,0.2,0.5676886203883245
PI3KIC50,2,7,0.2,0.5576025093598361
PI3KIC50,2,8,0.2,0.5753538431689396
PI3KIC50,2,9,0.2,0.549847476088638
PI3KIC50,2,10,0.2,0.5687727212751346
PI3KIC50,3,1,0.2,0.555374446320258
PI3KIC50,3,2,0.2,0.5674319396621447
PI3KIC50,3,3,0.2,0.5780905059508828
PI3KIC50,3,4,0.2,0.5690359554720125
PI3KIC50,3,5,0.2,0.574225000184837
PI3KIC50,3,6,0.2,0.5686463805310167
PI3KIC50,3,7,0.2,0.5458789310693032
PI3KIC50,3,8,0.2,0.5640437141176056
PI3KIC50,3,9,0.1,0.5704215109598627
PI3KIC50,3,10,0.2,0.5649542421837234
PI3KIC50,4,1,0.2,0.5793526446139511
PI3KIC50,4,2,0.2,0.5548239681749427
PI3KIC50,4,3,0.2,0.5703920778314935
PI3KIC50,4,4,0.2,0.5656144496593595
PI3KIC50,4,5,0.1,0.5640428158899501
PI3KIC50,4,6,0.2,0.5687960386514126
PI3KIC50,4,7,0.2,0.5570571055048295
PI3KIC50,4,8,0.2,0.5754743538788814
PI3KIC50,4,9,0.3,0.5599390906054832
PI3KIC50,4,10,0.1,0.5507829783316602
PI3KIC50,5,1,0.2,0.5786802994950999
PI3KIC50,5,2,0.2,0.5803846297270431
PI3KIC50,5,3,0.3,0.5729976608384083
PI3KIC50,5,4,0.2,0.5705501981855406
PI3KIC50,5,5,0.2,0.5760174865681694
PI3KIC50,5,6,0.2,0.5702588791474371
PI3KIC50,5,7,0.2,0.5625728766960961
PI3KIC50,5,8,0.2,0.5616404778303827
PI3KIC50,5,9,0.2,0.5783055352121491
PI3KIC50,5,10,0.2,0.5542884693470187
PI3KIC50,6,1,0.2,0.5702616805010778
PI3KIC50,6,2,0.3,0.5586880094033713
PI3KIC50,6,3,0.2,0.568647671436436
PI3KIC50,6,4,0.2,0.5729858390308401
PI3KIC50,6,5,0.2,0.5568399400383994
PI3KIC50,6,6,0.2,0.5711694012265345
PI3KIC50,6,7,0.2,0.5688997151870389
PI3KIC50,6,8,0.2,0.5754412649863697
PI3KIC50,6,9,0.2,0.5733736119656735
PI3KIC50,6,10,0.2,0.5607392470768348
PI3KIC50,7,1,0.2,0.5724695832352141
PI3KIC50,7,2,0.2,0.5619123626768026
PI3KIC50,7,3,0.1,0.5612773681607035
PI3KIC50,7,4,0.2,0.5853900172077197
PI3KIC50,7,5,0.2,0.5724791865368148
PI3KIC50,7,6,0.3,0.5532324052841081
PI3KIC50,7,7,0.2,0.547106861609685
PI3KIC50,7,8,0.2,0.5780314129929417
PI3KIC50,7,9,0.2,0.5574154676022618
PI3KIC50,7,10,0.2,0.5553975906548263
PI3KIC50,8,1,0.2,0.5593363166771701
PI3KIC50,8,2,0.2,0.571957632296081
PI3KIC50,8,3,0.2,0.5826816626998939
PI3KIC50,8,4,0.2,0.5657299012688991
PI3KIC50,8,5,0.2,0.5663414809677951
PI3KIC50,8,6,0.2,0.5730459905307804
PI3KIC50,8,7,0.2,0.5535644425751334
PI3KIC50,8,8,0.2,0.5717772369855849
PI3KIC50,8,9,0.2,0.5539801336529118
PI3KIC50,8,10,0.3,0.5691408101116603
PI3KIC50,9,1,0.2,0.5590654809546914
PI3KIC50,9,2,0.2,0.5645971136459969
PI3KIC50,9,3,0.2,0.5549070712910021
PI3KIC50,9,4,0.2,0.567644309140956
PI3KIC50,9,5,0.2,0.5541249200426643
PI3KIC50,9,6,0.2,0.5552628751784291
PI3KIC50,9,7,0.2,0.5698566259570531
PI3KIC50,9,8,0.2,0.578394823394208
PI3KIC50,9,9,0.2,0.5686567084546272
PI3KIC50,9,10,0.2,0.5641029348955492
PRISM19Q4_independent,0,1,0.4,0.6808685162482889
PRISM19Q4_independent,1,1,0.4,0.6892213589455286
PRISM19Q4_independent,2,1,0.5,0.6880760746376414
PRISM19Q4_independent,3,1,0.5,0.688982974571985
PRISM19Q4_independent,4,1,0.4,0.6825519319628114
PRISM19Q4_independent,5,1,0.4,0.6843472658728665
PRISM19Q4_independent,6,1,0.4,0.6858541576414675
PRISM19Q4_independent,7,1,0.5,0.6888326739905584
PRISM19Q4_independent,8,1,0.5,0.6906062634803048
PRISM19Q4_independent,9,1,0.5,0.684439281406408
