dataset,seed,fold,alpha,mean_pcc,mean_rmse,mean_mae,selected
CCLE,1,3,0.7000000000000001,0.6838401798025422,0.7314701903925995,0.5412406516450763,False
CCLE,1,3,0.8,0.6790570414024731,0.7379014184831881,0.5464018392390876,False
CCLE,1,3,0.9,0.6735018127214308,0.745518229239627,0.5523653034294002,False
CCLE,1,3,1.0,0.6672605747656621,0.7542827670441749,0.5591453036560663,False
CCLE,1,4,0.0,0.6891610764907679,0.7310345529832079,0.5367337543349052,False
CCLE,1,4,0.1,0.6917192779746495,0.7285960369063751,0.5343914887948954,False
CCLE,1,4,0.2,0.6930886237530285,0.7275164498379043,0.5331460212859668,False
CCLE,1,4,0.3,0.6932958836240157,0.7278011483222011,0.5330976112961021,True
CCLE,1,4,0.4,0.692384049824719,0.7294478008287729,0.5341566135184987,False
CCLE,1,4,0.5,0.6904102224963988,0.7324464719079524,0.5363803178321918,False
CCLE,1,4,0.6000000000000001,0.687443103393882,0.7367799161712913,0.539625599692478,False
CCLE,1,4,0.7000000000000001,0.6835602808603667,0.7424240622518641,0.5439856853268128,False
CCLE,1,4,0.8,0.6788454805425592,0.7493486559743306,0.5495753065006743,False
CCLE,1,4,0.9,0.6733859325695103,0.7575180244417234,0.5563010100565126,False
CCLE,1,4,1.0,0.6672699725866588,0.7668919191092252,0.5638992436843873,False
CCLE,1,5,0.0,0.6875524587103633,0.7283207539301204,0.5320554915270028,False
CCLE,1,5,0.1,0.6901276108805232,0.7257489358446186,0.5298741700655755,False
CCLE,1,5,0.2,0.6916793922036086,0.7243209789553384,0.5286915951559426,False
CCLE,1,5,0.3,0.6922182319414959,0.7240437097307307,0.5284437050390439,True
CCLE,1,5,0.4,0.6917676394105234,0.7249183996639755,0.5292072210342667,False
CCLE,1,5,0.5,0.6903631154471788,0.7269407344504109,0.5309545495186417,False
CCLE,1,5,0.6000000000000001,0.6880506926943026,0.7301009203014698,0.5337020075897091,False
CCLE,1,5,0.7000000000000001,0.6848852086492888,0.7343839213030311,0.537263510643645,False
CCLE,1,5,0.8,0.6809284235525273,0.7397698144260969,0.5417439282966481,False
CCLE,1,5,0.9,0.6762470924024605,0.7462342428503854,0.5470982517742762,False
CCLE,1,5,1.0,0.670911088596306,0.7537489441820322,0.5533536268503101,False
CCLE,1,6,0.0,0.6870443735531573,0.7275900226018003,0.5340191080425271,False
CCLE,1,6,0.1,0.6901077257514606,0.7245057516380331,0.5311156516207911,False
CCLE,1,6,0.2,0.6920131301193762,0.7227171249291837,0.5292787572932843,False
CCLE,1,6,0.3,0.6927731361230517,0.7222336088300314,0.5285973051664234,True
CCLE,1,6,0.4,0.6924171246690696,0.7230573239406632,0.5291368359251831,False
