dataset,method,metric,mean,sd,ci_low,ci_high,n
PI3KIC50,imputer_only,mae,0.5789269995968811,0.0024391579383535433,0.5771821311208836,0.5806718680728786,10
PI3KIC50,ridge_only,pcc,0.6108777415730262,0.003595101036327453,0.6083059612189635,0.6134495219270889,10
PI3KIC50,ridge_only,rmse,0.7945967396740777,0.002898638667040788,0.7925231784856452,0.7966703008625102,10
PI3KIC50,ridge_only,mae,0.5635187088613451,0.001990493159126621,0.5620947958336414,0.5649426218890489,10
PRISM19Q4_independent,adaptive_fusion,pcc,0.6972550009411148,0.0014959827352101602,0.6961848393602429,0.6983251625219867,10
PRISM19Q4_independent,adaptive_fusion,rmse,0.10427191260980533,0.00023647931405511673,0.10410274549937261,0.10444107972023804,10
PRISM19Q4_independent,adaptive_fusion,mae,0.07291474612606542,0.00016906481980948266,0.07279380443965504,0.07303568781247581,10
PRISM19Q4_independent,fixed_fusion,pcc,0.6986664972538891,7.141438523665555e-05,0.6986154104802231,0.698717584027555,10
PRISM19Q4_independent,fixed_fusion,rmse,0.10404827846770522,9.614336996255725e-06,0.10404140078533844,0.10405515615007199,10
PRISM19Q4_independent,fixed_fusion,mae,0.07275573575996666,6.819004430373352e-06,0.07275085773805542,0.0727606137818779,10
PRISM19Q4_independent,imputer_only,pcc,0.6999917731083498,4.320732841924273e-05,0.6999608644475758,0.7000226817691239,10
PRISM19Q4_independent,imputer_only,rmse,0.10379869357507202,6.511973305345317e-06,0.10379403518999643,0.1038033519601476,10
PRISM19Q4_independent,imputer_only,mae,0.072594983872462,4.426845101755751e-06,0.0725918170982467,0.07259815064667728,10
PRISM19Q4_independent,ridge_only,pcc,0.6737367447795546,0.00014665350896698968,0.6736318351791276,0.6738416543799816,10
PRISM19Q4_independent,ridge_only,rmse,0.10756155147657993,1.8116826424258563e-05,0.10754859147968275,0.10757451147347712,10
PRISM19Q4_independent,ridge_only,mae,0.07553220734690984,1.4866908986441675e-05,0.07552157220089568,0.07554284249292399,10
