dataset,seed,prediction_pearson,prediction_spearman,error_pearson,error_spearman,imputer_better_share,ridge_better_share,tie_share,fusion_delta_pcc_vs_imputer,fusion_delta_pcc_vs_ridge,fusion_rmse_gain_vs_imputer,fusion_rmse_gain_vs_ridge,fusion_mae_gain_vs_imputer,fusion_mae_gain_vs_ridge,n_test
PRISM19Q4_independent,0,0.9380875181873304,0.9423395377095447,0.9387893912467711,0.9149956928929731,0.5346578366445917,0.4653421633554084,0.0,-0.0013182399053037752,0.024867778393512507,-0.0002478738968560851,0.003505292335544405,-0.00016953960949221691,0.0027902061576085407,2265
PRISM19Q4_independent,1,0.937951324387972,0.9422275022874955,0.9386396592485394,0.9149339750025385,0.5364238410596026,0.46357615894039733,0.0,-0.001182604732196224,0.024769225526699024,-0.0002300214318450844,0.003494914597066426,-0.00015742876145485862,0.00277268081311359,2265
PRISM19Q4_independent,2,0.9379335332775729,0.9423293464501137,0.9386688122688411,0.9149615126251105,0.5342163355408388,0.46578366445916114,0.0,-0.0013534766025229406,0.024970738616528654,-0.0002552506418468242,0.003518978253579663,-0.00015643216653112024,0.0027671447126544346,2265
PRISM19Q4_independent,3,0.9379512320401643,0.9423038585057252,0.9386476578172219,0.9148087472844222,0.5306843267108168,0.4693156732891832,0.0,-0.0013452045292899895,0.024958391662110557,-0.00025357876493742326,0.0035186337881238927,-0.0001622078039788255,0.0027803148918067594,2265
PRISM19Q4_independent,4,0.9379103301935582,0.9423701336910165,0.9386969170815737,0.9149597154804018,0.5359823399558499,0.4640176600441501,0.0,-0.0014615730541269745,0.025094575322974766,-0.00026852732481730257,0.0035312785860531215,-0.00017609842302519774,0.0027905417593899196,2265
PRISM19Q4_independent,5,0.9380861579012362,0.9423593179174972,0.9387768945098135,0.9151056391436981,0.5342163355408388,0.46578366445916114,0.0,-0.0013207960649265216,0.024874199686307996,-0.0002488942201757244,0.0035069136357255976,-0.00015629056273706865,0.0027665851131969676,2265
PRISM19Q4_independent,6,0.9379235499886991,0.9422385816144564,0.9386491992842418,0.9148079928486803,0.5324503311258278,0.4675496688741722,0.0,-0.0013254509143955095,0.024939362638651152,-0.00024835220667508706,0.0035136427042002233,-0.00014124956088877594,0.0027695141091251957,2265
PRISM19Q4_independent,7,0.9379395318227656,0.9422864881172731,0.9386588577708243,0.9149016218717609,0.5333333333333333,0.4666666666666667,0.0,-0.0013429508021043368,0.0249547245149897,-0.00025125839963913155,0.0035160219269020077,-0.00016304025586867665,0.0027801957614637662,2265
PRISM19Q4_independent,8,0.9378517493601455,0.9422184960283978,0.938578681021551,0.914887513794571,0.530242825607064,0.46975717439293596,0.0,-0.0013297121847907212,0.02497349095155521,-0.00024964978886214684,0.0035185145140860102,-0.0001584889215086177,0.0027686130921572294,2265
PRISM19Q4_independent,9,0.9378783707349339,0.942292263009378,0.9386250371162899,0.9148806680302657,0.5342163355408388,0.46578366445916114,0.0,-0.0012727497549509525,0.02489503743001542,-0.00024244225067727998,0.0035085397474662466,-0.0001667428095609158,0.0027789194589155908,2265
