dataset,seed,quartile,method,pcc,rmse,mae,mean_disagreement,n_test
ERKAUC30,2,4,ridge_only,0.631305895818603,0.9222775024203309,0.6319688999204398,0.45760760150888774,3634
ERKAUC30,2,4,fixed_fusion,0.6458897577296395,0.912199576995152,0.6265570739116678,0.45760760150888774,3634
ERKAUC30,3,1,imputer_only,0.6778058082171146,0.6413986116902683,0.44631365131043305,0.029317508503394984,3635
ERKAUC30,3,1,ridge_only,0.6782135210295925,0.6410319549601117,0.4456662470693098,0.029317508503394984,3635
ERKAUC30,3,1,fixed_fusion,0.6782391761600948,0.6409888623067892,0.4457061114529323,0.029317508503394984,3635
ERKAUC30,3,2,imputer_only,0.653547509059667,0.6997120587764205,0.4808725144019405,0.09585627559654468,3634
ERKAUC30,3,2,ridge_only,0.6548966460072455,0.6981449554357982,0.4779934652077791,0.09585627559654468,3634
ERKAUC30,3,2,fixed_fusion,0.6559589847314088,0.6972003927736896,0.4775448047744541,0.09585627559654468,3634
ERKAUC30,3,3,imputer_only,0.669903229850522,0.727774250574755,0.49207977487725185,0.19043146712331427,3635
ERKAUC30,3,3,ridge_only,0.6715054542400961,0.7250469206931016,0.4876067424734108,0.19043146712331427,3635
ERKAUC30,3,3,fixed_fusion,0.6766450873655725,0.7199291186243985,0.4819860905086836,0.19043146712331427,3635
ERKAUC30,3,4,imputer_only,0.6331696500142602,0.9652901405295725,0.6869736778145031,0.4713789185695017,3634
ERKAUC30,3,4,ridge_only,0.6562978533131907,0.898448942677352,0.6143254990645672,0.4713789185695017,3634
ERKAUC30,3,4,fixed_fusion,0.6666652293092137,0.893407857906744,0.6175282338536979,0.4713789185695017,3634
ERKAUC30,4,1,imputer_only,0.6898217363783078,0.6453140966071469,0.4440634571443745,0.029691468924091823,3635
ERKAUC30,4,1,ridge_only,0.6902113934716559,0.6450265028490069,0.44421987929484313,0.029691468924091823,3635
ERKAUC30,4,1,fixed_fusion,0.6902435712732661,0.6449439430566597,0.4439232952219309,0.029691468924091823,3635
ERKAUC30,4,2,imputer_only,0.6731284638364299,0.6633619889299772,0.45772874965825466,0.09435074162068759,3634
ERKAUC30,4,2,ridge_only,0.6753975184400233,0.6611625850567963,0.45593953890791383,0.09435074162068759,3634
ERKAUC30,4,2,fixed_fusion,0.6761051723316457,0.6604916562720867,0.4546760386583708,0.09435074162068759,3634
ERKAUC30,4,3,imputer_only,0.6732244976045442,0.7068472858926279,0.5035241270791726,0.18738771331101975,3635
