dataset,mask_ratio,seed,method,pcc,rmse,mae,n_train,n_test
CCLE,0.2,3,original_mclrp,0.6719030813674457,0.9300432373223236,0.7023333597849656,9088,2272
CCLE,0.2,3,mfmr_base,0.700855045847436,0.7012481459246672,0.5120200832760173,9088,2272
CCLE,0.2,4,original_mclrp,0.6683572190337023,0.9815565582346976,0.7199710119192079,9088,2272
CCLE,0.2,4,mfmr_base,0.7180839760409975,0.7159023076383498,0.5156677041692783,9088,2272
CCLE,0.2,5,original_mclrp,0.6528494585651483,0.9639714711982286,0.7064442011671288,9088,2272
CCLE,0.2,5,mfmr_base,0.6958918255486058,0.7304456066496792,0.5275638601206724,9088,2272
CCLE,0.2,6,original_mclrp,0.6596332813408886,0.95352723541605,0.7246298677034525,9088,2272
CCLE,0.2,6,mfmr_base,0.7009959316839474,0.7134148578957742,0.5321077230454276,9088,2272
CCLE,0.2,7,original_mclrp,0.6824138822038812,0.9554601660967054,0.7083529200025476,9088,2272
CCLE,0.2,7,mfmr_base,0.7179311439118135,0.6993013688591196,0.5042489972441563,9088,2272
CCLE,0.2,8,original_mclrp,0.6648019808517508,0.9487269636479982,0.7101102846915155,9088,2272
CCLE,0.2,8,mfmr_base,0.7025791924455047,0.711061890947906,0.5112416824003958,9088,2272
CCLE,0.2,9,original_mclrp,0.6664348615466933,0.9413365611662416,0.7236034365717509,9088,2272
CCLE,0.2,9,mfmr_base,0.7130464529389766,0.6970896268312302,0.5220775296685761,9088,2272
CCLE,0.25,0,original_mclrp,0.6712900310805809,0.9555549411729116,0.7107743253906642,8520,2840
CCLE,0.25,0,mfmr_base,0.719558460492818,0.6935074975246891,0.5031532084340706,8520,2840
CCLE,0.25,1,original_mclrp,0.6636304138379651,0.9409874699236068,0.7218793542700567,8520,2840
CCLE,0.25,1,mfmr_base,0.6969141684933097,0.7078934222308677,0.5131864875209584,8520,2840
CCLE,0.25,2,original_mclrp,0.6600644146421228,0.9424681930951156,0.7056848105177557,8520,2840
CCLE,0.25,2,mfmr_base,0.6881985649244432,0.7230362443512134,0.5276364780820739,8520,2840
CCLE,0.25,3,original_mclrp,0.6603130530576632,0.948016322689149,0.7117123939309083,8520,2840
CCLE,0.25,3,mfmr_base,0.6915617987627687,0.720157191565766,0.5235007514653467,8520,2840
CCLE,0.25,4,original_mclrp,0.6491432581919788,0.9780768514126004,0.7212291425512923,8520,2840
CCLE,0.25,4,mfmr_base,0.7072782648356052,0.7219497633779082,0.5181961664537904,8520,2840
CCLE,0.25,5,original_mclrp,0.6484119431653818,0.9554585203413292,0.7022829960709996,8520,2840
CCLE,0.25,5,mfmr_base,0.686702648876346,0.7312928163543074,0.5288890928225133,8520,2840
CCLE,0.25,6,original_mclrp,0.653387697690317,0.9705902934522828,0.7288891623012346,8520,2840
CCLE,0.25,6,mfmr_base,0.6963207453134626,0.7279362179881518,0.538910946815068,8520,2840
CCLE,0.25,7,original_mclrp,0.6665887509716856,0.9447404691183344,0.7084850767320864,8520,2840
CCLE,0.25,7,mfmr_base,0.7002541316340731,0.708154533619501,0.5150533274354324,8520,2840
CCLE,0.25,8,original_mclrp,0.6447156457586687,0.9546754602444208,0.7132753437736847,8520,2840
CCLE,0.25,8,mfmr_base,0.6958287884906025,0.7184170373273832,0.5172092391849962,8520,2840
CCLE,0.25,9,original_mclrp,0.649806604326203,0.955757938275967,0.7296073237986439,8520,2840
CCLE,0.25,9,mfmr_base,0.6977205832994507,0.7196662712651465,0.53786162312806,8520,2840
CCLE,0.3,0,original_mclrp,0.651043963623014,0.9597231535288652,0.7164673884771839,7952,3408
CCLE,0.3,0,mfmr_base,0.6952269140062399,0.7198148115724684,0.5224852212113845,7952,3408
CCLE,0.3,1,original_mclrp,0.6398041124266328,0.948503258990676,0.7289007445162143,7952,3408
CCLE,0.3,1,mfmr_base,0.6737888348156971,0.735157000548085,0.5367253850175805,7952,3408
CCLE,0.3,2,original_mclrp,0.6510871299344921,0.9386849350025476,0.7080181055964274,7952,3408
CCLE,0.3,2,mfmr_base,0.6785659257814102,0.7280411813244201,0.5402887328450582,7952,3408
CCLE,0.3,3,original_mclrp,0.6476144723824053,0.965281337200702,0.7210671239615365,7952,3408
CCLE,0.3,3,mfmr_base,0.6798668993210936,0.7395102665188114,0.5338495203019799,7952,3408
CCLE,0.3,4,original_mclrp,0.6295108180219594,0.9661334158510132,0.7172078974831217,7952,3408
CCLE,0.3,4,mfmr_base,0.6863055109614837,0.7341260026597428,0.5324614439734364,7952,3408
CCLE,0.3,5,original_mclrp,0.6382474402316137,0.965718717709726,0.7089509482059118,7952,3408
CCLE,0.3,5,mfmr_base,0.6765591238670526,0.7473620602905777,0.5363732562040531,7952,3408
CCLE,0.3,6,original_mclrp,0.6422571051303038,0.9769289480414244,0.7324576455659076,7952,3408
CCLE,0.3,6,mfmr_base,0.6865638611057384,0.7404617499580405,0.5424857491543577,7952,3408
CCLE,0.3,7,original_mclrp,0.6413080876912861,0.941982873072949,0.7079111496005187,7952,3408
CCLE,0.3,7,mfmr_base,0.6837755078236516,0.7202483690168868,0.5278134689273976,7952,3408
CCLE,0.3,8,original_mclrp,0.6396893087952255,0.9542333981212656,0.716646166694499,7952,3408
CCLE,0.3,8,mfmr_base,0.6966837042019507,0.7148557713925129,0.5209240198219562,7952,3408
CCLE,0.3,9,original_mclrp,0.6239842192623399,0.952658220465964,0.7258374140134356,7952,3408
CCLE,0.3,9,mfmr_base,0.6792686802286878,0.7323743124146558,0.5439000414346783,7952,3408
