dataset,mask_ratio,method,metric,mean,sd,ci_low,ci_high,n
ERKIC50,0.15,mfmr_base,mae,0.5836758562477152,0.009115561707001318,0.577154976228649,0.5901967362667815,10
ERKIC50,0.15,original_mclrp,pcc,0.5969153469921059,0.014125681822693309,0.5868104429484483,0.6070202510357635,10
ERKIC50,0.15,original_mclrp,rmse,0.9569116594995645,0.013824226931280758,0.9470224032943227,0.9668009157048062,10
ERKIC50,0.15,original_mclrp,mae,0.7451259022851168,0.006526994854138205,0.7404567714408586,0.7497950331293749,10
ERKIC50,0.2,mfmr_base,pcc,0.6250703680284334,0.015566120477599598,0.6139350362453361,0.6362056998115307,10
ERKIC50,0.2,mfmr_base,rmse,0.7864234207972143,0.017800318530304473,0.7736898400077687,0.7991570015866598,10
ERKIC50,0.2,mfmr_base,mae,0.5955685758054173,0.008600414345390286,0.5894162100090812,0.6017209416017535,10
ERKIC50,0.2,original_mclrp,pcc,0.5850493053732813,0.011616201485793655,0.5767395754190667,0.5933590353274958,10
ERKIC50,0.2,original_mclrp,rmse,0.9619248313502385,0.010065492656187641,0.9547244116664598,0.9691252510340173,10
ERKIC50,0.2,original_mclrp,mae,0.7497261488731297,0.003522022495219435,0.7472066457581282,0.7522456519881312,10
ERKIC50,0.25,mfmr_base,pcc,0.6026167814873336,0.013696612341632526,0.5928188152601016,0.6124147477145655,10
ERKIC50,0.25,mfmr_base,rmse,0.8083948554914275,0.016899170569230536,0.7963059171192536,0.8204837938636015,10
ERKIC50,0.25,mfmr_base,mae,0.6107679716735628,0.007276826872759655,0.6055624433164526,0.615973500030673,10
ERKIC50,0.25,original_mclrp,pcc,0.5640805160049702,0.0077962560836342615,0.5585034103746889,0.5696576216352516,10
ERKIC50,0.25,original_mclrp,rmse,0.9657715710283983,0.01114371260859044,0.9577998392554937,0.9737433028013028,10
ERKIC50,0.25,original_mclrp,mae,0.7526626945073877,0.0037336267482845848,0.7499918188286195,0.7553335701861558,10
ERKIC50,0.3,mfmr_base,pcc,0.5890842753737011,0.010289763994731572,0.5817234216390798,0.5964451291083225,10
